Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00096:  C=403     29 L	      92 W	   1233 Ch	  ".mysql_history - .conf"
00097:  C=403     29 L	      92 W	   1233 Ch	  ".passwd - .php"
00098:  C=403     29 L	      92 W	   1233 Ch	  ".passwd - .html"
00099:  C=403     29 L	      92 W	   1233 Ch	  ".passwd - .txt"
00100:  C=403     29 L	      92 W	   1233 Ch	  ".passwd - .bak"
00001:  C=403     29 L	      92 W	   1233 Ch	  ".php"
00002:  C=403     29 L	      92 W	   1233 Ch	  ".html"
00003:  C=403     29 L	      92 W	   1233 Ch	  ".txt"
00004:  C=403     29 L	      92 W	   1233 Ch	  ".bak"
00005:  C=403     29 L	      92 W	   1233 Ch	  ".old"
00006:  C=403     29 L	      92 W	   1233 Ch	  ".conf"
00007:  C=403     29 L	      92 W	   1233 Ch	  ".bash_history - .php"
00008:  C=403     29 L	      92 W	   1233 Ch	  ".bash_history - .html"
00009:  C=403     29 L	      92 W	   1233 Ch	  ".bash_history - .txt"
00016:  C=403     29 L	      92 W	   1233 Ch	  ".bashrc - .bak"
00152:  C=403     29 L	      92 W	   1233 Ch	  ".swf - .html"
00171:  C=403     29 L	      92 W	   1233 Ch	  "_ - .txt"
00145:  C=403     29 L	      92 W	   1233 Ch	  ".svn/entries - .php"
00147:  C=403     29 L	      92 W	   1233 Ch	  ".svn/entries - .txt"
00148:  C=403     29 L	      92 W	   1233 Ch	  ".svn/entries - .bak"
00149:  C=403     29 L	      92 W	   1233 Ch	  ".svn/entries - .old"
00150:  C=403     29 L	      92 W	   1233 Ch	  ".svn/entries - .conf"
00151:  C=403     29 L	      92 W	   1233 Ch	  ".swf - .php"
00169:  C=403     29 L	      92 W	   1233 Ch	  "_ - .php"
00101:  C=403     29 L	      92 W	   1233 Ch	  ".passwd - .old"
00102:  C=403     29 L	      92 W	   1233 Ch	  ".passwd - .conf"
00103:  C=403     29 L	      92 W	   1233 Ch	  ".perf - .php"
00104:  C=403     29 L	      92 W	   1233 Ch	  ".perf - .html"
00105:  C=403     29 L	      92 W	   1233 Ch	  ".perf - .txt"
00106:  C=403     29 L	      92 W	   1233 Ch	  ".perf - .bak"
00107:  C=403     29 L	      92 W	   1233 Ch	  ".perf - .old"
00108:  C=403     29 L	      92 W	   1233 Ch	  ".perf - .conf"
00109:  C=403     29 L	      92 W	   1233 Ch	  ".profile - .php"
00110:  C=403     29 L	      92 W	   1233 Ch	  ".profile - .html"
00111:  C=403     29 L	      92 W	   1233 Ch	  ".profile - .txt"
00112:  C=403     29 L	      92 W	   1233 Ch	  ".profile - .bak"
00113:  C=403     29 L	      92 W	   1233 Ch	  ".profile - .old"
00114:  C=403     29 L	      92 W	   1233 Ch	  ".profile - .conf"
00115:  C=403     29 L	      92 W	   1233 Ch	  ".rhosts - .php"
00116:  C=403     29 L	      92 W	   1233 Ch	  ".rhosts - .html"
00117:  C=403     29 L	      92 W	   1233 Ch	  ".rhosts - .txt"
00118:  C=403     29 L	      92 W	   1233 Ch	  ".rhosts - .bak"
00119:  C=403     29 L	      92 W	   1233 Ch	  ".rhosts - .old"
00120:  C=403     29 L	      92 W	   1233 Ch	  ".rhosts - .conf"
00121:  C=403     29 L	      92 W	   1233 Ch	  ".sh_history - .php"
