Target: http://10.10.10.71:8080/FUZZ
Total requests: 220546
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
661450:  C=301      9 L	      29 W	    335 Ch	  "Joomla - Images"
661508:  C=301      9 L	      29 W	    336 Ch	  "Joomla - modules"
661572:  C=301      9 L	      29 W	    338 Ch	  "Joomla - templates"
661573:  C=301      9 L	      29 W	    334 Ch	  "Joomla - media"
661637:  C=301      9 L	      29 W	    335 Ch	  "Joomla - images"
668853:  C=301      9 L	      29 W	    339 Ch	  "complain - DATABASE"
733346:  C=200     81 L	     209 W	   3245 Ch	  "complain - LOGIN"
773248:  C=200     54 L	     118 W	   1644 Ch	  "complain - Plan"
780570:  C=200     81 L	     209 W	   3245 Ch	  "complain - LogIn"
781911:  C=302      0 L	       0 W	      0 Ch	  "complain - VIEW"
793866:  C=200      0 L	       1 W	     20 Ch	  "complain - FeedBack"
836959:  C=302      0 L	       0 W	      0 Ch	  "complain"
837936:  C=200      9 L	     182 W	   1387 Ch	  "complain - MAIN"
853413:  C=301      9 L	      29 W	    338 Ch	  "complain - Include"
857938:  C=302      0 L	       0 W	      0 Ch	  "complain - Process"
869301:  C=200     23 L	     154 W	   2363 Ch	  "complain - repo"
872297:  C=302      0 L	       0 W	      0 Ch	  "complain - View"
876393:  C=301      9 L	      29 W	    339 Ch	  "complain - Database"
877114:  C=302      0 L	       0 W	      0 Ch	  "complain - INDEX"
878526:  C=301      9 L	      29 W	    337 Ch	  "complain - IMAGES"
878574:  C=200      0 L	       1 W	     20 Ch	  "complain - Feedback"
878954:  C=200     41 L	      73 W	   1087 Ch	  "complain - Reports"
879487:  C=200    109 L	     346 W	   4798 Ch	  "complain - Register"
880048:  C=301      9 L	      29 W	    338 Ch	  "complain - Library"
880272:  C=302      0 L	       0 W	      0 Ch	  "complain - process"
880286:  C=200     54 L	     118 W	   1644 Ch	  "complain - plan"
880998:  C=200      9 L	     182 W	   1387 Ch	  "complain - Main"
881087:  C=301      9 L	      29 W	    338 Ch	  "complain - include"
881374:  C=200     81 L	     209 W	   3245 Ch	  "complain - Login"
881378:  C=301      9 L	      29 W	    339 Ch	  "complain - database"
881540:  C=302      0 L	       0 W	      0 Ch	  "complain - Index"
881926:  C=200     41 L	      73 W	   1087 Ch	  "complain - reports"
881996:  C=301      9 L	      29 W	    337 Ch	  "complain - Images"
882010:  C=301      9 L	      29 W	    338 Ch	  "complain - library"
882058:  C=200      0 L	       1 W	     20 Ch	  "complain - feedback"
882061:  C=302      0 L	       0 W	      0 Ch	  "complain - view"
882122:  C=200      9 L	     182 W	   1387 Ch	  "complain - main"
882134:  C=200    109 L	     346 W	   4798 Ch	  "complain - register"
882146:  C=200     81 L	     209 W	   3245 Ch	  "complain - login"
882183:  C=301      9 L	      29 W	    337 Ch	  "complain - images"
882184:  C=302      0 L	       0 W	      0 Ch	  "complain - index"
1057505:  C=200    106 L	     178 W	  10065 Ch	  ""
1063093:  C=301      9 L	      29 W	    328 Ch	  "Joomla"
1092912:  C=301      9 L	      29 W	    330 Ch	  "complain"
1096530:  C=301      9 L	      29 W	    328 Ch	  "joomla"
1097660:  C=200    106 L	     178 W	  10065 Ch	  "INDEX"
1101054:  C=200    344 L	    2576 W	  197251 Ch	  "favicon"
1102086:  C=200    106 L	     178 W	  10065 Ch	  "Index"
1102730:  C=200    106 L	     178 W	  10065 Ch	  "index"

Total time: 0
Processed Requests: 1102730
Filtered Requests: 1102594
Requests/sec.: 0
