Target: http://10.13.38.12:80/FUZZ
Total requests: 4614
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00100:  C=301      1 L	      10 W	    159 Ch	  "_vti_map"
00101:  C=301      1 L	      10 W	    159 Ch	  "_vti_pvt"
00102:  C=301      1 L	      10 W	    159 Ch	  "_vti_rpc"
00103:  C=301      1 L	      10 W	    162 Ch	  "_vti_script"
00104:  C=301      1 L	      10 W	    159 Ch	  "_vti_txt"
00105:  C=301      1 L	      10 W	    155 Ch	  "_www"
00106:  C=301      1 L	      10 W	    155 Ch	  "~adm"
00107:  C=301      1 L	      10 W	    157 Ch	  "~admin"
00108:  C=301      1 L	      10 W	    165 Ch	  "~administrator"
00109:  C=301      1 L	      10 W	    158 Ch	  "~amanda"
00110:  C=301      1 L	      10 W	    158 Ch	  "~apache"
00111:  C=301      1 L	      10 W	    155 Ch	  "~bin"
00112:  C=301      1 L	      10 W	    155 Ch	  "~ftp"
00113:  C=301      1 L	      10 W	    157 Ch	  "~guest"
00114:  C=301      1 L	      10 W	    156 Ch	  "~http"
00115:  C=301      1 L	      10 W	    157 Ch	  "~httpd"
00116:  C=301      1 L	      10 W	    155 Ch	  "~log"
00117:  C=301      1 L	      10 W	    156 Ch	  "~logs"
00118:  C=301      1 L	      10 W	    154 Ch	  "~lp"
00119:  C=301      1 L	      10 W	    156 Ch	  "~mail"
00120:  C=301      1 L	      10 W	    158 Ch	  "~nobody"
00121:  C=301      1 L	      10 W	    160 Ch	  "~operator"
00122:  C=301      1 L	      10 W	    156 Ch	  "~root"
00123:  C=301      1 L	      10 W	    155 Ch	  "~sys"
00124:  C=301      1 L	      10 W	    158 Ch	  "~sysadm"
00125:  C=301      1 L	      10 W	    160 Ch	  "~sysadmin"
00126:  C=301      1 L	      10 W	    156 Ch	  "~test"
00127:  C=301      1 L	      10 W	    155 Ch	  "~tmp"
00128:  C=301      1 L	      10 W	    156 Ch	  "~user"
00129:  C=301      1 L	      10 W	    161 Ch	  "~webmaster"
00130:  C=301      1 L	      10 W	    155 Ch	  "~www"
00131:  C=301      1 L	      10 W	    152 Ch	  "0"
00132:  C=301      1 L	      10 W	    153 Ch	  "00"
00133:  C=301      1 L	      10 W	    153 Ch	  "01"
00134:  C=301      1 L	      10 W	    153 Ch	  "02"
00135:  C=301      1 L	      10 W	    153 Ch	  "03"
00136:  C=301      1 L	      10 W	    153 Ch	  "04"
00137:  C=301      1 L	      10 W	    153 Ch	  "05"
00138:  C=301      1 L	      10 W	    153 Ch	  "06"
00139:  C=301      1 L	      10 W	    153 Ch	  "07"
00140:  C=301      1 L	      10 W	    153 Ch	  "08"
00141:  C=301      1 L	      10 W	    153 Ch	  "09"
00142:  C=301      1 L	      10 W	    152 Ch	  "1"
00143:  C=301      1 L	      10 W	    153 Ch	  "10"
00144:  C=301      1 L	      10 W	    154 Ch	  "100"
00145:  C=301      1 L	      10 W	    155 Ch	  "1000"
00146:  C=301      1 L	      10 W	    155 Ch	  "1001"
00147:  C=301      1 L	      10 W	    154 Ch	  "101"
00148:  C=301      1 L	      10 W	    154 Ch	  "102"
00149:  C=301      1 L	      10 W	    154 Ch	  "103"
00150:  C=301      1 L	      10 W	    153 Ch	  "11"
00151:  C=301      1 L	      10 W	    153 Ch	  "12"
00152:  C=301      1 L	      10 W	    154 Ch	  "123"
00153:  C=301      1 L	      10 W	    153 Ch	  "13"
00154:  C=301      1 L	      10 W	    153 Ch	  "14"
00155:  C=301      1 L	      10 W	    153 Ch	  "15"
00156:  C=301      1 L	      10 W	    155 Ch	  "1990"
00157:  C=301      1 L	      10 W	    155 Ch	  "1991"
00158:  C=301      1 L	      10 W	    155 Ch	  "1992"
00159:  C=301      1 L	      10 W	    155 Ch	  "1993"
00160:  C=301      1 L	      10 W	    155 Ch	  "1994"
00161:  C=301      1 L	      10 W	    155 Ch	  "1995"
00162:  C=301      1 L	      10 W	    155 Ch	  "1996"
00163:  C=301      1 L	      10 W	    155 Ch	  "1997"
00164:  C=301      1 L	      10 W	    155 Ch	  "1998"
00165:  C=301      1 L	      10 W	    155 Ch	  "1999"
